trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1250899,07:45:00,07:45:00,111,1,,0,0
1250899,"","",1019,2,,0,0
1250899,"","",1020,3,,0,0
1250899,"","",956,4,,0,0
1250899,"","",1015,5,,0,0
1250899,07:50:00,07:50:00,999,6,,0,0
1250899,"","",1001,7,,0,0
1250899,"","",1003,8,,0,0
1250899,"","",1004,9,,0,0
1250899,08:00:00,08:00:00,1007,10,,0,0
1250899,"","",1008,11,,0,0
1250899,"","",1010,12,,0,0
1250899,"","",1011,13,,0,0
1250899,"","",1013,14,,0,0
1250899,08:07:00,08:07:00,1014,15,,0,0
1250899,"","",1015,16,,0,0
1250899,"","",975,17,,0,0
1250899,"","",955,18,,0,0
1250899,"","",1018,19,,0,0
1250899,08:15:00,08:15:00,1103,20,,1,3
1250899,"","",110,21,,0,0
1250899,08:30:00,08:30:00,111,22,,1,3
1250069,06:45:00,06:45:00,111,1,,0,0
1250069,"","",1019,2,,0,0
1250069,"","",1020,3,,0,0
1250069,"","",956,4,,0,0
1250069,"","",1015,5,,0,0
1250069,06:50:00,06:50:00,999,6,,0,0
1250069,"","",1001,7,,0,0
1250069,"","",1003,8,,0,0
1250069,"","",1004,9,,0,0
1250069,07:00:00,07:00:00,1007,10,,0,0
1250069,"","",1008,11,,0,0
1250069,"","",1010,12,,0,0
1250069,"","",1011,13,,0,0
1250069,"","",1013,14,,0,0
1250069,07:07:00,07:07:00,1014,15,,0,0
1250069,"","",1015,16,,0,0
1250069,"","",975,17,,0,0
1250069,"","",955,18,,0,0
1250069,"","",1018,19,,0,0
1250069,07:15:00,07:15:00,1103,20,,1,3
1250069,"","",110,21,,0,0
1250069,07:30:00,07:30:00,111,22,,1,3
1251729,08:45:00,08:45:00,111,1,,0,0
1251729,"","",1019,2,,0,0
1251729,"","",1020,3,,0,0
1251729,"","",956,4,,0,0
1251729,"","",1015,5,,0,0
1251729,08:50:00,08:50:00,999,6,,0,0
1251729,"","",1001,7,,0,0
1251729,"","",1003,8,,0,0
1251729,"","",1004,9,,0,0
1251729,09:00:00,09:00:00,1007,10,,0,0
1251729,"","",1008,11,,0,0
1251729,"","",1010,12,,0,0
1251729,"","",1011,13,,0,0
1251729,"","",1013,14,,0,0
1251729,09:07:00,09:07:00,1014,15,,0,0
1251729,"","",1015,16,,0,0
1251729,"","",975,17,,0,0
1251729,"","",955,18,,0,0
1251729,"","",1018,19,,0,0
1251729,09:15:00,09:15:00,1103,20,,1,3
