stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
2,"Greenbank Farm: SR 525 at Smugglers Cove Rd","blank",48.108303,-122.580446,1,http://islandtransit.org/stops/2
3,"SR 525 at Ellwood Dr","blank",48.120790,-122.587469,1,http://islandtransit.org/stops/3
4,"SR 525 at Gramayre Rd","blank",48.128428,-122.589342,1,http://islandtransit.org/stops/4
6,"SR 525 at Houston Rd","blank",48.152945,-122.595395,1,http://islandtransit.org/stops/6
7,"SR 525 south of Admiral's Dr","blank",48.160050,-122.603747,1,http://islandtransit.org/stops/7
8,"SR 525 at Race Rd and Poggensee Rd","blank",48.171013,-122.608671,1,http://islandtransit.org/stops/8
9,"SR 20 at W Welcher Rd","blank",48.190656,-122.626602,1,http://islandtransit.org/stops/9
10,"SR 20 at Rhododendron St Park and Animal Shelter","blank",48.207922,-122.651545,1,http://islandtransit.org/stops/10
11,"SR 20 at S Quail Trail Ln","blank",48.208741,-122.657918,1,http://islandtransit.org/stops/11
12,"SR 20 at Sherman St","blank",48.212347,-122.703866,1,http://islandtransit.org/stops/12
13,"SR 20 at NW Madrona Way","blank",48.233058,-122.735745,1,http://islandtransit.org/stops/13
14,"SR 20 at N Power Rd (San Juan De Fuca Store)","blank",48.234950,-122.723481,1,http://islandtransit.org/stops/14
15,"Arnold Rd at N Riepma Rd","blank",48.240700,-122.708547,1,http://islandtransit.org/stops/15
16,"Monroe Landing at Arnold Rd (Penn Cove)","blank",48.246229,-122.681076,1,http://islandtransit.org/stops/16
17,"Oak Harbor Wes Lupien Airport","blank",48.251006,-122.680469,1,http://islandtransit.org/stops/17
18,"SR 20 at Arnold Rd (Penn Cove) to Clinton","blank",48.240810,-122.714324,1,http://islandtransit.org/stops/18
19,"SR 20 at Haga Rd","blank",48.278778,-122.669378,1,http://islandtransit.org/stops/19
20,"SR 20 at Hastie Lake","blank",48.259427,-122.699046,1,http://islandtransit.org/stops/20
21,"Dock St at Barrington Dr","blank",48.290179,-122.649026,1,http://islandtransit.org/stops/21
22,"SR 20 at SW Swantown Ave","blank",48.282946,-122.669525,1,http://islandtransit.org/stops/22
23,"SR 20 at Haga Rd","blank",48.278922,-122.669558,1,http://islandtransit.org/stops/23
25,"Oak Harbor Wes Lupien Airport","blank",48.250971,-122.680635,1,http://islandtransit.org/stops/25
26,"Madrona at Kennedy Lagoon","blank",48.228547,-122.734827,1,http://islandtransit.org/stops/26
