route_id,service_id,trip_id,trip_headsign,direction_id,block_id
9,23,2450089,West Oak Harbor,0,100
46,23,3000079,Scatchet/Langley,0,125
4,23,3200089,Northbound Oak Harbor,0,113
24,24,3600119,Southbound Clinton Ferry,0,78
35,23,2750089,West Beach/Keystone,0,102
25,23,2550059,NB Deception Pass,0,104
42,23,2900059,NB Freeland via Langley,0,114
57,25,1250069,Stanwood,0,165
54,23,3100089,City Shuttle,0,103
51,24,3300139,10/2 City Shuttle,0,80
64,25,2050069,Terry's Corner,0,167
7,23,2500059,East Oak Harbor,0,133
25,24,3500059,SB Oak Harbor,0,77
25,24,3450059,NB Deception Pass,0,77
25,23,2600059,SB Oak Harbor,0,104
50,23,3150079,City Shuttle,0,100
58,25,1350049,Camano,0,174
58,25,1300049,Mt Vernon,0,174
19,23,2350009,Southbound Clinton Ferry,0,111
11,23,3850049,Mt Vernon,0,100
62,25,1750009,Terry's Corner,0,164
11,24,3350049,Mt Vernon,0,145
42,28,5050059,,0,111
11,24,3400049,Whidbey,0,145
35,23,2800069,West Beach/Keystone,0,103
42,23,2950069,SB Clinton via Langley,0,124
62,25,1750839,Terry's Corner,0,164
11,28,4750049,Whidbey,0,101
11,23,4400049,Whidbey,0,100
58,28,5450049,Mt Vernon,0,174
58,28,5400049,Camano,0,174
35,28,4850089,West Beach/Keystone,0,133
21,23,3250099,Southbound Clinton Ferry,0,124
11,28,4700049,Mt Vernon,0,101
64,28,5500069,Terry's Corner,0,167
62,25,1751669,Terry's Corner,0,164
58,26,1600059,Mt Vernon,0,161
35,23,2850079,West Beach/Keystone,0,103
9,28,4650089,West Oak Harbor,0,103
46,23,3050009,Scatchet,0,124
58,26,1650059,Camano,0,161
64,25,2000069,Everett,0,167
58,25,1350879,Camano,0,173
58,25,1300879,Mt Vernon,0,173
64,28,5550069,Everett Station,0,167
25,23,2550889,NB Deception Pass,0,104
35,28,4900069,West Beach/Keystone,0,102
42,23,2900889,NB Freeland via Langley,0,115
42,28,5000069,,0,111
7,23,2500889,East Oak Harbor,0,104
25,24,3500889,SB Oak Harbor,0,79
25,24,3450889,NB Deception Pass,0,79
25,23,2600889,SB Oak Harbor,0,104
11,24,3350879,Mt Vernon,0,77
57,28,5350069,Stanwood,0,163
11,23,4400879,Whidbey,0,101
11,24,3400879,Whidbey,0,77
50,28,5200079,City Shuttle,0,100
1,24,3550119,Northbound Oak Harbor,0,76
57,25,1250899,Stanwood,0,163
35,28,4950079,West Beach/Keystone,0,102
64,25,2050899,Terry's Corner,0,169
46,28,5150079,Scatchet/Langley,0,126
56,28,5250389,East Camano,0,171
42,28,5050889,,0,112
11,28,4700879,Mt Vernon,0,104
46,23,3000909,Scatchet/Langley,0,126
35,23,2850909,West Beach/Keystone,0,102
4,28,4500089,Northbound Oak Harbor,0,113
11,28,4750879,Whidbey,0,104
58,28,5400879,Camano,0,165
11,23,3850879,Mt Vernon,0,101
58,28,5450879,Mt Vernon,0,169
50,23,3150909,City Shuttle,0,103
62,25,1752499,Terry's Corner,0,164
46,28,5100089,Scatchet,0,125
9,23,2450919,West Oak Harbor,0,101
4,23,3200919,Northbound Oak Harbor,0,114
62,25,1753329,Terry's Corner,0,172
19,28,4600109,,0,111
35,23,2750919,West Beach/Keystone,0,133
54,23,3100919,City Shuttle,0,100
42,23,2950899,SB Clinton via Langley,0,124
21,28,4550099,Clinton,0,120
58,25,1351709,Camano,0,174
58,25,1301709,Mt Vernon,0,174
58,26,1600889,Mt Vernon,0,161
58,28,5401709,Camano,0,170
58,26,1650889,Camano,0,161
11,24,3351709,Mt Vernon,0,88
4,28,4500919,Northbound Oak Harbor,0,114
11,24,3401709,Whidbey,0,88
62,25,1754159,Terry's Corner,0,172
25,23,2551719,NB Deception Pass,0,132
11,23,3851709,Mt Vernon,0,104
42,23,2901719,NB Freeland via Langley,0,111
19,23,2350839,Southbound Clinton Ferry,0,112
1,23,4300119,Northbound Oak Harbor,0,111
7,23,2501719,East Oak Harbor,0,100
25,24,3501719,SB Oak Harbor,0,78
25,24,3451719,NB Deception Pass,0,78
1,28,4450119,Northbound Oak Harbor,0,115
25,23,2601719,SB Oak Harbor,0,132
11,28,4701709,Mt Vernon,0,134
64,28,5550899,Everett Station,0,169
64,28,5500899,Terry's Corner,0,169
11,28,4751709,Whidbey,0,134
24,24,3600949,Southbound Clinton Ferry,0,76
11,23,4401709,Whidbey,0,104
35,28,4900899,West Beach/Keystone,0,133
42,28,5000899,,0,112
33,28,4800129,,0,136
33,23,4350129,,0,136
57,28,5350899,Stanwood,0,167
64,25,2000899,Everett,0,169
58,28,5451709,Mt Vernon,0,166
58,25,1352539,Camano,0,169
58,25,1302539,Mt Vernon,0,169
46,23,3050839,Scatchet,0,125
57,25,1251729,Stanwood,0,167
46,28,5100919,Scatchet,0,126
64,25,2051729,Terry's Corner,0,167
21,23,3250929,Southbound Clinton Ferry,0,125
11,23,4402539,Whidbey,0,134
42,28,5051719,,0,113
50,28,5200909,City Shuttle,0,103
35,28,4950909,West Beach/Keystone,0,133
11,24,3352539,Mt Vernon,0,147
46,28,5150909,Scatchet/Langley,0,125
51,24,3300969,10/2 City Shuttle,0,144
11,24,3402539,Whidbey,0,147
46,23,3001739,Scatchet/Langley,0,125
58,26,1651719,Camano,0,162
35,23,2851739,West Beach/Keystone,0,133
9,28,4650919,West Oak Harbor,0,102
50,23,3151739,City Shuttle,0,102
58,26,1601719,Mt Vernon,0,162
11,28,4752539,Whidbey,0,101
35,28,4850919,West Beach/Keystone,0,130
11,28,4702539,Mt Vernon,0,101
25,23,2552549,NB Deception Pass,0,107
42,23,2902549,NB Freeland via Langley,0,112
58,28,5402539,Camano,0,174
64,25,2001729,Everett,0,167
